run_id,timestep,mean_reward
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,60000,112.8
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,75000,135.4
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,90000,173.4
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,105000,186.4
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,120000,159.6
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,135000,155.6
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,150000,154.0
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,15000,9.4
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,30000,175.8
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,45000,214.0
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,60000,211.0
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,75000,268.4
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,90000,264.0
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,105000,231.6
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,120000,235.8
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,135000,258.2
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,150000,259.4
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,15000,14.8
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,30000,18.6
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,45000,188.4
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,60000,248.2
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,75000,219.8
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,90000,229.8
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,105000,217.6
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,120000,174.8
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,135000,189.0
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,150000,166.2
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,15000,9.2
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,30000,49.8
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,45000,155.2
