run_id,env,algo,seed,learning_rate,n_steps,gamma,exploration_fraction,mean_reward,std_reward,timesteps,duration_s,status,error,timestamp
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s1,Acrobot-v1,PPO,1,0.0001,512,0.99,,-79.8,12.4643,300000,1813.4,success,,2026-04-19T12:22:45
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,Acrobot-v1,PPO,0,0.0001,512,0.999,,-86.65,27.0375,300000,1816.0,success,,2026-04-19T12:22:51
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,Acrobot-v1,PPO,1,0.0001,512,0.999,,-79.25,7.3816,300000,1861.9,success,,2026-04-19T12:29:28
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s0,Acrobot-v1,PPO,0,0.0001,2048,0.99,,-79.15,4.3044,300000,1849.3,success,,2026-04-19T12:29:47
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,Acrobot-v1,PPO,1,0.0001,2048,0.99,,-77.8,5.6356,300000,1851.4,success,,2026-04-19T12:29:52
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,Acrobot-v1,PPO,0,0.0001,2048,0.999,,-85.9,40.7393,300000,1847.0,success,,2026-04-19T12:30:01
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,Acrobot-v1,PPO,1,0.0001,2048,0.999,,-78.3,15.1826,300000,1894.7,success,,2026-04-19T12:44:41
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,Acrobot-v1,PPO,0,0.0003,512,0.99,,-69.25,7.4557,300000,1899.5,success,,2026-04-19T12:44:49
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,Acrobot-v1,PPO,1,0.0003,512,0.99,,-74.3,9.5661,300000,1893.6,success,,2026-04-19T12:44:55
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,Acrobot-v1,PPO,0,0.0003,512,0.999,,-73.6,5.7567,300000,1891.5,success,,2026-04-19T12:47:32
Acrobot-v1__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s1,Acrobot-v1,PPO,1,0.0003,512,0.999,,-500.0,0.0,300000,1915.3,success,,2026-04-19T12:51:40
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,Acrobot-v1,PPO,0,0.0003,2048,0.99,,-80.0,9.4868,300000,1904.4,success,,2026-04-19T12:52:59
